Club,Club Logo
 SSV Jahn Regensburg,https://cdn.sofifa.org/teams/2/light/543.png
1. FC Heidenheim 1846,https://cdn.sofifa.org/teams/2/light/111235.png
1. FC Kaiserslautern,https://cdn.sofifa.org/teams/2/light/29.png
1. FC Köln,https://cdn.sofifa.org/teams/2/light/31.png
1. FC Magdeburg,https://cdn.sofifa.org/teams/2/light/110588.png
1. FC Nürnberg,https://cdn.sofifa.org/teams/2/light/171.png
1. FC Union Berlin,https://cdn.sofifa.org/teams/2/light/1831.png
1. FSV Mainz 05,https://cdn.sofifa.org/teams/2/light/169.png
AC Ajaccio,https://cdn.sofifa.org/teams/2/light/614.png
AC Horsens,https://cdn.sofifa.org/teams/2/light/1446.png
AD Alcorcón,https://cdn.sofifa.org/teams/2/light/100831.png
ADO Den Haag,https://cdn.sofifa.org/teams/2/light/650.png
AEK Athens,https://cdn.sofifa.org/teams/2/light/278.png
AFC Wimbledon,https://cdn.sofifa.org/teams/2/light/112259.png
AIK,https://cdn.sofifa.org/teams/2/light/433.png
AJ Auxerre,https://cdn.sofifa.org/teams/2/light/57.png
AS Béziers,https://cdn.sofifa.org/teams/2/light/113948.png
AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png
AS Nancy Lorraine,https://cdn.sofifa.org/teams/2/light/1823.png
AS Saint-Étienne,https://cdn.sofifa.org/teams/2/light/1819.png
AZ Alkmaar,https://cdn.sofifa.org/teams/2/light/1906.png
Aalborg BK,https://cdn.sofifa.org/teams/2/light/820.png
Aarhus GF,https://cdn.sofifa.org/teams/2/light/271.png
Aberdeen,https://cdn.sofifa.org/teams/2/light/77.png
Accrington Stanley,https://cdn.sofifa.org/teams/2/light/110313.png
Adelaide United,https://cdn.sofifa.org/teams/2/light/111393.png
Ajax,https://cdn.sofifa.org/teams/2/light/245.png
Akhisar Belediyespor,https://cdn.sofifa.org/teams/2/light/111340.png
Al Ahli,https://cdn.sofifa.org/teams/2/light/112387.png
Al Batin,https://cdn.sofifa.org/teams/2/light/112990.png
Al Faisaly,https://cdn.sofifa.org/teams/2/light/112389.png
Al Fateh,https://cdn.sofifa.org/teams/2/light/112390.png
Al Fayha,https://cdn.sofifa.org/teams/2/light/113057.png
Al Hazem,https://cdn.sofifa.org/teams/2/light/113222.png
Al Hilal,https://cdn.sofifa.org/teams/2/light/605.png
Al Ittihad,https://cdn.sofifa.org/teams/2/light/607.png
Al Nassr,https://cdn.sofifa.org/teams/2/light/112139.png
Al Qadisiyah,https://cdn.sofifa.org/teams/2/light/112391.png
Al Raed,https://cdn.sofifa.org/teams/2/light/112392.png
Al Shabab,https://cdn.sofifa.org/teams/2/light/111674.png
Al Taawoun,https://cdn.sofifa.org/teams/2/light/112393.png
Al Wehda,https://cdn.sofifa.org/teams/2/light/112408.png
Alanyaspor,https://cdn.sofifa.org/teams/2/light/113142.png
Albacete BP,https://cdn.sofifa.org/teams/2/light/1854.png
Alianza Petrolera,https://cdn.sofifa.org/teams/2/light/112579.png
Amiens SC,https://cdn.sofifa.org/teams/2/light/1816.png
América FC (Minas Gerais),https://cdn.sofifa.org/teams/2/light/112001.png
América de Cali,https://cdn.sofifa.org/teams/2/light/101099.png
Angers SCO,https://cdn.sofifa.org/teams/2/light/1530.png
