Nationality,Flag
Afghanistan,https://cdn.sofifa.org/flags/149.png
Albania,https://cdn.sofifa.org/flags/1.png
Algeria,https://cdn.sofifa.org/flags/97.png
Andorra,https://cdn.sofifa.org/flags/2.png
Angola,https://cdn.sofifa.org/flags/98.png
Antigua & Barbuda,https://cdn.sofifa.org/flags/63.png
Argentina,https://cdn.sofifa.org/flags/52.png
Armenia,https://cdn.sofifa.org/flags/3.png
Australia,https://cdn.sofifa.org/flags/195.png
Austria,https://cdn.sofifa.org/flags/4.png
Azerbaijan,https://cdn.sofifa.org/flags/5.png
Barbados,https://cdn.sofifa.org/flags/66.png
Belarus,https://cdn.sofifa.org/flags/6.png
Belgium,https://cdn.sofifa.org/flags/7.png
Belize,https://cdn.sofifa.org/flags/67.png
Benin,https://cdn.sofifa.org/flags/99.png
Bermuda,https://cdn.sofifa.org/flags/68.png
Bolivia,https://cdn.sofifa.org/flags/53.png
Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png
Botswana,https://cdn.sofifa.org/flags/100.png
Brazil,https://cdn.sofifa.org/flags/54.png
Bulgaria,https://cdn.sofifa.org/flags/9.png
Burkina Faso,https://cdn.sofifa.org/flags/101.png
Burundi,https://cdn.sofifa.org/flags/102.png
Cameroon,https://cdn.sofifa.org/flags/103.png
Canada,https://cdn.sofifa.org/flags/70.png
Cape Verde,https://cdn.sofifa.org/flags/104.png
Central African Rep.,https://cdn.sofifa.org/flags/105.png
Chad,https://cdn.sofifa.org/flags/106.png
Chile,https://cdn.sofifa.org/flags/55.png
China PR,https://cdn.sofifa.org/flags/155.png
Colombia,https://cdn.sofifa.org/flags/56.png
Comoros,https://cdn.sofifa.org/flags/214.png
Congo,https://cdn.sofifa.org/flags/107.png
Costa Rica,https://cdn.sofifa.org/flags/72.png
Croatia,https://cdn.sofifa.org/flags/10.png
Cuba,https://cdn.sofifa.org/flags/73.png
Curacao,https://cdn.sofifa.org/flags/85.png
Cyprus,https://cdn.sofifa.org/flags/11.png
Czech Republic,https://cdn.sofifa.org/flags/12.png
DR Congo,https://cdn.sofifa.org/flags/110.png
Denmark,https://cdn.sofifa.org/flags/13.png
Dominican Republic,https://cdn.sofifa.org/flags/207.png
Ecuador,https://cdn.sofifa.org/flags/57.png
Egypt,https://cdn.sofifa.org/flags/111.png
El Salvador,https://cdn.sofifa.org/flags/76.png
England,https://cdn.sofifa.org/flags/14.png
Equatorial Guinea,https://cdn.sofifa.org/flags/112.png
Eritrea,https://cdn.sofifa.org/flags/113.png
Estonia,https://cdn.sofifa.org/flags/208.png
Ethiopia,https://cdn.sofifa.org/flags/114.png
FYR Macedonia,https://cdn.sofifa.org/flags/19.png
Faroe Islands,https://cdn.sofifa.org/flags/16.png
Fiji,https://cdn.sofifa.org/flags/197.png
Finland,https://cdn.sofifa.org/flags/17.png
France,https://cdn.sofifa.org/flags/18.png
Gabon,https://cdn.sofifa.org/flags/115.png
Gambia,https://cdn.sofifa.org/flags/116.png
Georgia,https://cdn.sofifa.org/flags/20.png
Germany,https://cdn.sofifa.org/flags/21.png
