ID,Contract Valid Until,Loaned From,Release Clause,Work Rate
158023,2021,,€226.5M,Medium/ Medium
20801,2022,,€127.1M,High/ Low
190871,2022,,€228.1M,High/ Medium
193080,2020,,€138.6M,Medium/ Medium
192985,2023,,€196.4M,High/ High
183277,2020,,€172.1M,High/ Medium
177003,2020,,€137.4M,High/ High
176580,2021,,€164M,High/ Medium
155862,2020,,€104.6M,High/ Medium
200389,2021,,€144.5M,Medium/ Medium
188545,2021,,€127.1M,High/ Medium
182521,2022,,€156.8M,Medium/ Medium
182493,2019,,€90.2M,Medium/ High
168542,2020,,€111M,High/ Medium
215914,2023,,€121.3M,Medium/ High
211110,2022,,€153.5M,High/ Medium
202126,2024,,€160.7M,High/ High
194765,2023,,€165.8M,High/ High
192448,2022,,€123.3M,Medium/ Medium
192119,2024,,€113.7M,Medium/ Medium
189511,2023,,€105.6M,Medium/ Medium
179813,2020,,€111M,High/ High
167495,2021,,€62.7M,Medium/ Medium
153079,2021,,€119.3M,High/ Medium
138956,2020,,€44.6M,Medium/ High
231747,2022,,€166.1M,High/ Medium
209331,2023,,€137.3M,High/ Medium
200145,2021,,€126.4M,Medium/ High
198710,"Jun 30, 2019",Real Madrid,,Medium/ Medium
198219,2022,,€105.4M,High/ Medium
197781,2022,,€156.2M,High/ Medium
190460,2020,,€141.5M,High/ Medium
189242,2023,,€147.7M,High/ High
188567,2021,,€112.1M,Medium/ Low
178603,2021,,€75.9M,High/ Medium
176676,2022,,€88.2M,High/ Low
173731,2022,,€123M,High/ Medium
167948,2022,,€66.6M,Medium/ Medium
167664,"Jun 30, 2019",Juventus,,High/ Medium
164240,2020,,€44.4M,Medium/ High
162835,2021,,€51M,Medium/ Medium
1179,2019,,€7.4M,Medium/ Medium
205600,2023,,€121.1M,Medium/ High
201399,2021,,€114.5M,Medium/ Low
201024,2021,,€90.5M,High/ High
195864,2021,,€123.2M,High/ Low
193041,2020,,€62.5M,Medium/ Medium
192505,2022,,€120.3M,Medium/ Medium
192387,2023,,€88.4M,High/ Medium
189332,2020,,€77.9M,High/ Medium
175943,2020,,€76.5M,High/ Low
172871,2019,,€62.9M,High/ High
171877,2020,,€79.1M,High/ Medium
168651,2021,,€95.3M,High/ High
152729,2022,,€69.7M,High/ Medium
222492,2021,,€125.1M,High/ Medium
218667,2022,,€114.5M,High/ Medium
210257,2025,,€79.9M,Medium/ Medium
208722,2023,,€102.7M,High/ Medium
203376,2023,,€87.9M,Medium/ Medium
202652,2023,,€108.8M,High/ Medium
201942,2023,,€104.7M,High/ High
201535,2022,,€106.3M,Medium/ High
199556,2021,,€105.9M,Medium/ High
191043,2020,,€60.2M,High/ High
190483,2022,,€76.7M,High/ Medium
189596,2021,,€74.3M,High/ High
189509,2021,,€75.1M,Medium/ Medium
188350,2023,,€74M,High/ Medium
184432,2022,,€64.8M,Medium/ Medium
184344,2023,,€49.5M,Low/ High
184087,2020,,€75.1M,Medium/ Medium
180206,2023,,€72.6M,Medium/ Medium
177509,2020,,€49.5M,Medium/ High
176635,2021,,€82.7M,Medium/ Low
135507,2020,,€33.3M,Medium/ High
41,2021,,€26.9M,High/ Medium
232363,2022,,€88.4M,Medium/ High
223848,2023,,€89.6M,High/ Medium
220834,2023,,€121.5M,High/ Medium
216594,2020,,€98.8M,High/ Medium
212831,2024,,€72.1M,Medium/ Medium
212622,2023,,€69.9M,High/ Low
208421,2026,,€107.3M,High/ High
204485,2023,,€74.9M,Medium/ Medium
197445,2021,,€65.6M,High/ Medium
193747,2019,,€95.6M,High/ High
193301,2022,,€88.9M,High/ High
192774,2022,,€66.6M,Low/ High
192366,2022,,€52.7M,High/ High
189513,2020,,€77.7M,Medium/ Low
187961,"Jun 30, 2019",FC Barcelona,,High/ High
186153,2021,,€55.2M,Medium/ Medium
184941,2022,,€69.4M,High/ High
184267,2019,,€78M,High/ Medium
183907,2021,,€49.5M,Medium/ Medium
181872,2021,,€53.3M,Medium/ Medium
181458,2022,,€63.8M,Medium/ Medium
180930,2020,,€51.9M,Medium/ Medium
179846,2021,,€54.5M,High/ High
179844,2021,,€78.9M,High/ Medium
178518,2022,,€60.4M,High/ High
171919,2020,,€15.3M,Medium/ Medium
170890,2020,,€42.9M,High/ High
168609,2020,,€26.4M,Medium/ High
165153,2021,,€75.9M,Medium/ Low
164169,2019,,€44.1M,High/ Medium
139720,2019,,€40.7M,Medium/ High
120533,2019,,€17.1M,Medium/ High
41236,2022,,€21M,Medium/ Low
220793,2024,,€65.5M,Medium/ High
216460,2023,,€72.3M,Medium/ High
212462,2021,,€66.4M,High/ Medium
212218,2023,,€65.5M,Medium/ Medium
212198,2023,,€84M,High/ Medium
212190,2022,,€67.5M,Medium/ Medium
211300,2019,,€87.1M,Medium/ Medium
211117,2024,,€87.1M,High/ High
209499,2023,,€67.2M,Medium/ Medium
207865,2022,,€68.3M,Medium/ Medium
207566,2023,,€68.5M,Medium/ Medium
205498,2023,,€73.2M,Medium/ Medium
204970,2021,,€77M,High/ Medium
204963,2022,,€66.9M,High/ High
202556,2021,,€83M,High/ Low
200104,2023,,€71.2M,High/ High
199482,2020,,€49.4M,Medium/ Medium
198176,2023,,€55.9M,Medium/ High
198009,2022,,€50.9M,Medium/ Medium
193082,2020,,€48.7M,High/ Medium
192629,2022,,€63M,High/ High
192563,2023,,€53.3M,Medium/ Medium
191202,2020,,€44.4M,Medium/ High
190941,2023,,€37.4M,Medium/ Medium
190584,2023,,€65.1M,Medium/ High
188377,2022,,€45.3M,High/ High
186942,2020,,€59.2M,High/ Medium
