ID,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
158023,6.0,11.0,15.0,14.0,8.0
20801,7.0,11.0,15.0,14.0,11.0
190871,9.0,9.0,15.0,15.0,11.0
193080,90.0,85.0,87.0,88.0,94.0
192985,15.0,13.0,5.0,10.0,13.0
183277,11.0,12.0,6.0,8.0,8.0
177003,13.0,9.0,7.0,14.0,9.0
176580,27.0,25.0,31.0,33.0,37.0
155862,11.0,8.0,9.0,7.0,11.0
200389,86.0,92.0,78.0,88.0,89.0
188545,15.0,6.0,12.0,8.0,10.0
182521,10.0,11.0,13.0,7.0,10.0
182493,6.0,8.0,15.0,5.0,15.0
168542,6.0,15.0,7.0,6.0,12.0
215914,15.0,12.0,10.0,7.0,10.0
211110,5.0,4.0,4.0,5.0,8.0
202126,8.0,10.0,11.0,14.0,11.0
194765,14.0,8.0,14.0,13.0,14.0
192448,87.0,85.0,88.0,85.0,90.0
192119,85.0,91.0,72.0,86.0,88.0
189511,5.0,8.0,13.0,9.0,13.0
179813,12.0,5.0,13.0,13.0,10.0
167495,90.0,86.0,91.0,87.0,87.0
153079,13.0,15.0,6.0,11.0,14.0
138956,3.0,3.0,2.0,4.0,3.0
231747,13.0,5.0,7.0,11.0,6.0
209331,14.0,14.0,9.0,11.0,14.0
200145,13.0,14.0,16.0,12.0,12.0
198710,15.0,15.0,15.0,5.0,14.0
198219,8.0,4.0,14.0,9.0,10.0
197781,10.0,8.0,12.0,15.0,6.0
190460,9.0,14.0,7.0,7.0,6.0
189242,12.0,7.0,9.0,14.0,6.0
188567,6.0,9.0,15.0,9.0,9.0
178603,15.0,6.0,10.0,5.0,6.0
176676,12.0,5.0,5.0,5.0,9.0
173731,15.0,15.0,11.0,5.0,6.0
167948,88.0,84.0,68.0,83.0,92.0
167664,5.0,12.0,7.0,5.0,10.0
164240,9.0,12.0,5.0,9.0,10.0
162835,87.0,86.0,69.0,89.0,89.0
1179,88.0,87.0,74.0,90.0,83.0
205600,15.0,10.0,14.0,12.0,15.0
