ID,Name,Age,Nationality,Height,Weight,Body Type,Skill Moves,Preferred Foot,Position
158023,L. Messi,31,Argentina,5'7,159lbs,Messi,4.0,Left,RF
20801,Cristiano Ronaldo,33,Portugal,6'2,183lbs,C. Ronaldo,5.0,Right,ST
190871,Neymar Jr,26,Brazil,5'9,150lbs,Neymar,5.0,Right,LW
193080,De Gea,27,Spain,6'4,168lbs,Lean,1.0,Right,GK
192985,K. De Bruyne,27,Belgium,5'11,154lbs,Normal,4.0,Right,RCM
183277,E. Hazard,27,Belgium,5'8,163lbs,Normal,4.0,Right,LF
177003,L. Modrić,32,Croatia,5'8,146lbs,Lean,4.0,Right,RCM
176580,L. Suárez,31,Uruguay,6'0,190lbs,Normal,3.0,Right,RS
155862,Sergio Ramos,32,Spain,6'0,181lbs,Normal,3.0,Right,RCB
200389,J. Oblak,25,Slovenia,6'2,192lbs,Normal,1.0,Right,GK
188545,R. Lewandowski,29,Poland,6'0,176lbs,Normal,4.0,Right,ST
182521,T. Kroos,28,Germany,6'0,168lbs,Normal,3.0,Right,LCM
182493,D. Godín,32,Uruguay,6'2,172lbs,Lean,2.0,Right,CB
168542,David Silva,32,Spain,5'8,148lbs,Normal,4.0,Left,LCM
215914,N. Kanté,27,France,5'6,159lbs,Lean,2.0,Right,LDM
211110,P. Dybala,24,Argentina,5'10,165lbs,Normal,4.0,Left,LF
202126,H. Kane,24,England,6'2,196lbs,Normal,3.0,Right,ST
194765,A. Griezmann,27,France,5'9,161lbs,Lean,4.0,Left,CAM
192448,M. ter Stegen,26,Germany,6'2,187lbs,Normal,1.0,Right,GK
192119,T. Courtois,26,Belgium,6'6,212lbs,Courtois,1.0,Left,GK
189511,Sergio Busquets,29,Spain,6'2,168lbs,Lean,3.0,Right,CDM
179813,E. Cavani,31,Uruguay,6'1,170lbs,Lean,3.0,Right,LS
167495,M. Neuer,32,Germany,6'4,203lbs,Normal,1.0,Right,GK
153079,S. Agüero,30,Argentina,5'8,154lbs,Stocky,4.0,Right,ST
138956,G. Chiellini,33,Italy,6'2,187lbs,Normal,2.0,Left,LCB
231747,K. Mbappé,19,France,5'10,161lbs,Lean,5.0,Right,RM
209331,M. Salah,26,Egypt,5'9,157lbs,PLAYER_BODY_TYPE_25,4.0,Left,RM
200145,Casemiro,26,Brazil,6'1,185lbs,Normal,2.0,Right,CDM
198710,J. Rodríguez,26,Colombia,5'11,172lbs,Normal,4.0,Left,LAM
