ID,Overall,Potential,International Reputation
158023,94,94,5.0
20801,94,94,5.0
190871,92,93,5.0
193080,91,93,4.0
192985,91,92,4.0
183277,91,91,4.0
177003,91,91,4.0
176580,91,91,5.0
155862,91,91,4.0
200389,90,93,3.0
188545,90,90,4.0
182521,90,90,4.0
182493,90,90,3.0
168542,90,90,4.0
215914,89,90,3.0
211110,89,94,3.0
202126,89,91,3.0
194765,89,90,4.0
192448,89,92,3.0
192119,89,90,4.0
189511,89,89,4.0
179813,89,89,4.0
167495,89,89,5.0
153079,89,89,4.0
138956,89,89,4.0
231747,88,95,3.0
209331,88,89,3.0
200145,88,90,3.0
198710,88,89,4.0
198219,88,88,3.0
197781,88,91,3.0
190460,88,91,3.0
189242,88,89,3.0
188567,88,88,3.0
178603,88,88,4.0
176676,88,88,4.0
173731,88,88,4.0
167948,88,88,4.0
167664,88,88,4.0
164240,88,88,4.0
162835,88,88,3.0
1179,88,88,4.0
205600,87,92,3.0
201399,87,90,3.0
201024,87,90,3.0
195864,87,91,4.0
193041,87,87,3.0
192505,87,89,3.0
192387,87,87,3.0
189332,87,87,3.0
175943,87,87,3.0
172871,87,87,3.0
171877,87,87,3.0
168651,87,87,4.0
152729,87,87,4.0
222492,86,92,2.0
218667,86,91,2.0
210257,86,90,2.0
208722,86,87,3.0
203376,86,88,3.0
202652,86,89,3.0
201942,86,87,3.0
201535,86,91,3.0
199556,86,89,3.0
191043,86,86,3.0
190483,86,86,3.0
189596,86,86,4.0
189509,86,86,3.0
188350,86,86,4.0
184432,86,86,3.0
184344,86,86,3.0
184087,86,87,3.0
180206,86,86,3.0
177509,86,86,3.0
176635,86,86,4.0
135507,86,86,3.0
41,86,86,4.0
232363,85,92,1.0
223848,85,90,2.0
220834,85,92,3.0
216594,85,89,3.0
212831,85,90,3.0
212622,85,88,3.0
208421,85,90,3.0
204485,85,85,3.0
197445,85,87,4.0
193747,85,86,3.0
193301,85,86,3.0
192774,85,87,3.0
192366,85,85,3.0
189513,85,85,2.0
187961,85,85,3.0
186153,85,87,3.0
184941,85,85,4.0
184267,85,85,3.0
183907,85,85,4.0
181872,85,85,4.0
181458,85,85,3.0
180930,85,85,3.0
179846,85,85,3.0
179844,85,85,4.0
178518,85,85,3.0
171919,85,85,3.0
170890,85,85,3.0
168609,85,85,3.0
165153,85,85,4.0
164169,85,85,3.0
139720,85,85,4.0
120533,85,85,4.0
41236,85,85,5.0
220793,84,88,2.0
216460,84,88,2.0
212462,84,87,3.0
212218,84,88,2.0
212198,84,88,2.0
212190,84,90,2.0
211300,84,90,3.0
211117,84,90,3.0
209499,84,88,3.0
207865,84,89,3.0
207566,84,86,3.0
205498,84,87,2.0
204970,84,87,2.0
204963,84,87,3.0
202556,84,89,3.0
200104,84,85,3.0
199482,84,86,2.0
198176,84,86,3.0
198009,84,89,2.0
193082,84,84,3.0
192629,84,84,2.0
192563,84,87,3.0
191202,84,84,3.0
190941,84,84,2.0
190584,84,84,2.0
188377,84,84,3.0
186942,84,84,3.0
185020,84,84,3.0
183898,84,84,4.0
181783,84,84,3.0
180403,84,84,3.0
178750,84,85,2.0
178562,84,84,3.0
177413,84,84,3.0
177388,84,84,3.0
176769,84,84,3.0
172879,84,84,3.0
167628,84,84,3.0
167397,84,84,3.0
163587,84,84,2.0
157481,84,84,3.0
143076,84,84,3.0
137186,84,84,3.0
20775,84,84,3.0
9014,84,84,4.0
231443,83,92,3.0
230666,83,92,2.0
230481,83,83,1.0
230375,83,83,1.0
230294,83,83,1.0
225850,83,89,2.0
220971,83,88,2.0
219683,83,88,2.0
213565,83,89,3.0
213345,83,87,2.0
213331,83,88,2.0
212523,83,90,2.0
212188,83,87,3.0
