ID,screen_name,name,text,hashtags,statuses_count,followers_count,friends_count,created_at,urls
1248097183368466433,niiif__we,كلنا مسوؤل 🙏🏼,"RT @akhbar: وبحسب وكالة الأنباء السعودية ""واس""، فإن القرار الملكي يقضي بالإفراج المؤقت، بشكل فوري، عمن حبس تنفيذا لتلك الأحكام والأوامر.

#…",[],4,0,16,2020-04-09 03:55:31,[]
1248097182915260421,FromaHKPeople1,M. Anthony,"RT @SenRickScott: This isn’t about politics, @DrTedros. This about global public health.

The @WHO and Communist China worked together to c…",[],25075,3279,4781,2020-04-09 03:55:31,[]
1248097182579929098,aquigonzalezp,AQUILES GONZALEZ P,"RT @AlbertoBernalLe: Gracias a Dios se mantiene controlada la curva de #Colombia, estable por debajo de #Suecia y #RepublicaCheca, dos país…","[{'text': 'Colombia', 'indices': [71, 80]}, {'text': 'Suecia', 'indices': [104, 111]}, {'text': 'RepublicaCheca', 'indices': [114, 129]}]",6342,136,1074,2020-04-09 03:55:31,[]
1248097182114353153,rushan614,Rushan Abbas,"RT @Uyghur_American: 🆘Trouble paying bills? Laid off? Hours cut?     

Resources are available to help you get through the #coronavirus pan…","[{'text': 'coronavirus', 'indices': [123, 135]}]",4612,5612,499,2020-04-09 03:55:31,[]
1248097182038675457,gadakh_kishor,Kishor Gadakh,"RT @jogalshailaja: #Kolhapur - 
कोल्हापुरातील पहिल्या रुग्णाचा रिपोर्ट निगेटिव्ह
१४ दिवसानंतर पहिला रिपोर्ट निगेटिव्ह
#coronavirus","[{'text': 'Kolhapur', 'indices': [19, 28]}, {'text': 'coronavirus', 'indices': [118, 130]}]",1475,62,507,2020-04-09 03:55:31,[]
1248097181887799296,JaneCanary19,CalamityJane,RT @sfpelosi: “You cannot expect us to ossify inequality in access to capital as we try to fight the #coronavirus.” - @SpeakerPelosi urges…,"[{'text': 'coronavirus', 'indices': [101, 113]}]",180505,2263,1549,2020-04-09 03:55:31,[]
1248097181405286401,mxtmol,🐣 🎀 Lonely Bitch🎀 🐣,"RT @QuePocaMadre_Mx: Mientras el dueño de #Elektra #RicardoSalinasPliego se pasa a #ATodaMadre su #Cuarentena con tus #AbonosChiquitos,a la…","[{'text': 'Elektra', 'indices': [42, 50]}, {'text': 'RicardoSalinasPliego', 'indices': [51, 72]}, {'text': 'ATodaMadre', 'indices': [83, 94]}, {'text': 'Cuarentena', 'indices': [98, 109]}, {'text': 'AbonosChiquitos', 'indices': [118, 134]}]",15019,9,149,2020-04-09 03:55:31,[]
1248097179799093249,Elisha61611,Elisha6161,RT @va_shiva: The Deep State #FakeScience Establishment led by Fauci cares ZERO about the Immune Health of the American People. To them eve…,"[{'text': 'FakeScience', 'indices': [29, 41]}]",2,0,1,2020-04-09 03:55:30,[]
1248097178792402954,Bernard96328555,Bernard L,"RT @skb_sara: Thank you @realDonaldTrump for putting a hold on funding to the @WHO ‼️ You are the best president ever‼️

I’m still SMH that…",[],4140,577,923,2020-04-09 03:55:30,[]
1248097177311883266,umairhashmi92,Umair Hashmi,"RT @MeFixerr: ""میرے رب! میں بے بس ہوں
تو میری مددفرما""۔ 

#ShabEBarat 
#CoronaVirus https://t.co/W5JB3Si2Oh","[{'text': 'ShabEBarat', 'indices': [58, 69]}, {'text': 'CoronaVirus', 'indices': [71, 83]}]",12488,919,3622,2020-04-09 03:55:30,[]
1248097176863023104,kinobex,JR 💚🇪🇸💚💪🏼,"RT @Medicilio: Que dice Fernando Simón que no se han colapsado las #uci en el pico de #coronavirus en España.

#hilo porque no me cabe en u…","[{'text': 'uci', 'indices': [67, 71]}, {'text': 'coronavirus', 'indices': [86, 98]}, {'text': 'hilo', 'indices': [111, 116]}]",25331,140,484,2020-04-09 03:55:30,[]
1248097176686923777,bellezatuyera,❤️Adexys Barreto❤️,RT @NoticiasONU: La OMS es “absolutamente indispensable como parte de los esfuerzos mundiales para ganar esta guerra contra el #coronavirus…,"[{'text': 'coronavirus', 'indices': [127, 139]}]",14806,3289,3649,2020-04-09 03:55:30,[]
1248097176070361089,MR_R3NO,ξl Яεησ,"RT @articulo35: Hospital Maranatha en la zona 13 da a conocer que entran en cuarentena durante dos semanas, debido a que uno los médicos de…",[],41145,494,1835,2020-04-09 03:55:29,[]
1248097175860469760,singdownunder,Owen Sharpe,"RT @tomaspueyo: Amazing visualization of the #Coronavirus Dance that Hong Kong is performing. 

They are able to assess their R daily. You…","[{'text': 'Coronavirus', 'indices': [45, 57]}]",735,546,77,2020-04-09 03:55:29,[]
1248097175524929536,Puruthakur78,Purushottam Thakur🇮🇳,RT @TarekFatah: Indian mullah threatens violence against journalists reporting on the role of #TablighiJamaat in spreading #coronavirus acr…,"[{'text': 'TablighiJamaat', 'indices': [94, 109]}, {'text': 'coronavirus', 'indices': [123, 135]}]",62195,761,1458,2020-04-09 03:55:29,[]
1248097174585397248,venky1654j,Venky (AA DHF ),RT @Voice_For_India: Sickening that people are criticizing @narendramodi on his #coronavirus actions. He took early actions just like @real…,"[{'text': 'coronavirus', 'indices': [80, 92]}]",1014,45,88,2020-04-09 03:55:29,[]
1248097174392430593,ttterryyy,terry,"RT @alphacentauriii: Tedros, you shall only blame yourself, no one else for loosing reputation. You ignored Taiwan's warnings about the #Co…",[],2177,150,341,2020-04-09 03:55:29,[]
1248097174170173442,iamnosleep,pnwgopher,"RT @Geeta_Mohan: Brazil uses #Ramayana reference while seeking help from India for supplies of #Hydroxychloroquine.

Extract of letter from…","[{'text': 'Ramayana', 'indices': [29, 38]}, {'text': 'Hydroxychloroquine', 'indices': [95, 114]}]",1111,45,38,2020-04-09 03:55:29,[]
1248097173906096128,osmarfloress,Osmar Flores,"RT @UltimaHoracom: Brasil: El #Covid19 suma víctimas cada vez más jóvenes. Un bebé de apenas 4 días, diagnosticado con #coronavirus, murió…","[{'text': 'Covid19', 'indices': [30, 38]}, {'text': 'coronavirus', 'indices': [119, 131]}]",3223,180,682,2020-04-09 03:55:29,[]
1248097173562175489,NikitaWatches,NIkitaWatches,RT @taradublinrocks: This is what a real president tweets about the #Coronavirus #ThanksObama,"[{'text': 'Coronavirus', 'indices': [68, 80]}, {'text': 'ThanksObama', 'indices': [81, 93]}]",24152,1014,1759,2020-04-09 03:55:29,[]
1248097173192966145,JCarlosRozo,Juan Carlos Rozo,"RT @CJBONILLASOTO: Esta emergencia sanitaria no debe ser politizada ni movida por mezquindades personales.

14 casos positivos por Covid-19…",[],4989,601,2619,2020-04-09 03:55:29,[]
1248097171494195201,Jesse731R,Jesse Rodriguez,"RT @TonyLittleReal: In house for 20 days so far ! I pray every night ! For all of you and our families! You can do it ! 
We can do it ! #co…",[],85846,1830,1848,2020-04-09 03:55:28,[]
1248097171481780224,4eyesJohnny,John Drummond 🌊🌊,"RT @meekwire: BREAKING @ABCInvestigates — Intelligence reports warned of #coronavirus crisis as early as November: Sources

https://t.co/Z2…","[{'text': 'coronavirus', 'indices': [73, 85]}]",118363,3671,4081,2020-04-09 03:55:28,[]
1248097171339202560,HorseShort,Sam Covfefe ⭐️⭐️⭐️🇺🇸Text “Trump” to 88022,"RT @JudicialWatch: .@JudicialWatch President @TomFitton: ""Nancy Pelosi tried to overturn voter I.D. laws in 35 different states in #Coronav…",[],468498,50370,41580,2020-04-09 03:55:28,[]
1248097170529619968,justice4allin,justice4all,"RT @Jim_Jordan: House Democrats are already demanding that illegal immigrants receive benefits in the next #coronavirus aid package. 

Seri…","[{'text': 'coronavirus', 'indices': [107, 119]}]",41305,3885,4740,2020-04-09 03:55:28,[]
1248097168503734273,progcpl,Dvora Paul,"RT @juliettekayyem: Wimbledon paid for pandemic insurance for the last 17 years.  Due to 2020 #coronavirus cancellation, they will receive…","[{'text': 'coronavirus', 'indices': [94, 106]}]",1840,54,734,2020-04-09 03:55:28,[]
1248097168491032576,trc451,Captain Ahab🐳,"RT @King_ShankRadio: 🔥🔥Phone zap!!🔥🔥
 9am to 5pm April 9th 2020!!! Still no masks! Still no releases! Numbers of infected are rising! Will…",[],14501,812,2215,2020-04-09 03:55:28,[]
1248097168071720960,Only_rock_radio,Only rock radio,#StayAtHomeAndStaySafe This is music on https://t.co/4zZsRPZYwX now Eyes On Fire by Caustic Minds @caustic_minds vi… https://t.co/oA9LJvycGH,"[{'text': 'StayAtHomeAndStaySafe', 'indices': [0, 22]}]",1319148,29584,19165,2020-04-09 03:55:28,"[{'url': 'https://t.co/4zZsRPZYwX', 'expanded_url': 'http://bit.ly/tiorrad3', 'display_url': 'bit.ly/tiorrad3', 'indices': [40, 63]}, {'url': 'https://t.co/oA9LJvycGH', 'expanded_url': 'https://twitter.com/i/web/status/1248097168071720960', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1248097167312551936,DavidCo81707402,David Contreras,"RT @ELChat035: 👉🏾Señor mío #Jesucristo tú que eres el Médico de médicos,
No hay enfermedad que no se doblegue a tu presencia, que se resist…","[{'text': 'Jesucristo', 'indices': [27, 38]}]",5240,644,411,2020-04-09 03:55:27,[]
1248097167270653953,inc_ricky,ರಿಕ್ಕಿ (Ricky),"RT @prajavani: ಸೌಲಭ್ಯಗಳಲ್ಲಿ ತಾರತಮ್ಯ, ಬೇಸರ ತೋಡಿಕೊಂಡ ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ ಇಲಾಖೆಯ ಶುಶ್ರೂಷಕರು https://t.co/kE97chYBvX #Covid19  #Coronavirus #karnat…","[{'text': 'Covid19', 'indices': [109, 117]}, {'text': 'Coronavirus', 'indices': [119, 131]}]",32129,450,614,2020-04-09 03:55:27,"[{'url': 'https://t.co/kE97chYBvX', 'expanded_url': 'https://www.prajavani.net/stories/stateregional/nurses-in-the-department-of-medical-education-bored-about-discrimination-718578.html', 'display_url': 'prajavani.net/stories/stater…', 'indices': [85, 108]}]"
1248097167266496517,DIDNOTVOTEFOR44,❌🇺🇸WatchDog🇺🇸❌  ❌Against #OLIAR❌,"RT @BlondieVex: In 1976, the Swine Flu that was exposed as a money making scare which resulted in vaccinations causing paralysis, neurologi…",[],252206,34309,33610,2020-04-09 03:55:27,[]
1248097166092099585,iwgo,#avanzarsintransar,RT @untthe_mcn: GRAVE! Ministro #Briones hoy declaró que los honorarios tenemos certeza laboral y no merecemos la #DevolucionCompleta pero…,"[{'text': 'Briones', 'indices': [32, 40]}, {'text': 'DevolucionCompleta', 'indices': [114, 133]}]",229342,5769,5299,2020-04-09 03:55:27,[]
1248097166024798210,rsx1022,Alan chan,"RT @SenRickScott: This isn’t about politics, @DrTedros. This about global public health.

The @WHO and Communist China worked together to c…",[],465,2,87,2020-04-09 03:55:27,[]
1248097165399822337,FREESPEECHFIRE4,FREE SPEECH ON FIRE,What about all the dual loyalty J✡️ws that got us into a war that killed millions? #infowars #Truth #coronavirus… https://t.co/wnaU7VqoUr,"[{'text': 'infowars', 'indices': [83, 92]}, {'text': 'Truth', 'indices': [93, 99]}, {'text': 'coronavirus', 'indices': [100, 112]}]",74,16,141,2020-04-09 03:55:27,"[{'url': 'https://t.co/wnaU7VqoUr', 'expanded_url': 'https://twitter.com/i/web/status/1248097165399822337', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]"
1248097165014175749,LYNNDau49389362,LYNN Daugherty,"RT @jenniferatntd: Somewhere in #Wuhan, people moving body secretly as ""zero new cases"" has become a political task, and communities dare n…","[{'text': 'Wuhan', 'indices': [32, 38]}]",4199,254,481,2020-04-09 03:55:27,[]
1248097164858986498,laurape00486139,Laura Perez,"RT @Jim_Jordan: House Democrats are already demanding that illegal immigrants receive benefits in the next #coronavirus aid package. 

Seri…","[{'text': 'coronavirus', 'indices': [107, 119]}]",95412,3117,3355,2020-04-09 03:55:27,[]
1248097163848056838,Ark_juanvazkez,J. MANUEL VAZQUEZ,"RT @gpelizarraga: Ayer, una jueza (me reservo identidad) compartió mensaje a un grupo del que formo parte, promoviendo ""gran bloque oposito…",[],9843,183,1439,2020-04-09 03:55:27,[]
1248097163554381824,ManojV31064247,Manoj V,"RT @IshaTamil: கொரோனா நமக்கு உணர்த்திய ஒரு முக்கிய பாடம் பற்றி பேசுகிறார் சத்குரு. 

சவாலான இந்நேரத்தில் சத்குருவுடன் - நாள் 17 #BeatTheVir…",[],394,94,88,2020-04-09 03:55:26,[]
1248097163399196672,AnshGujral13,Ansh Gujral,"RT @IndianExpress: 2. Sophie Grégoire Trudeau, wife of Canadian PM Justin Trudeau, had tested positive for the #coronavirus on March 12 aft…","[{'text': 'coronavirus', 'indices': [111, 123]}]",11,6,46,2020-04-09 03:55:26,[]
1248097162392743936,SecretofAging,Secret of Aging,RT @ASKAboutVitamin: #RT #ASKAboutVitamins #Follow @ASKAboutVitamin Check out our Positive #Feedback #Reviews https://t.co/uuFOGayTji #Spec…,"[{'text': 'RT', 'indices': [21, 24]}, {'text': 'ASKAboutVitamins', 'indices': [25, 42]}, {'text': 'Follow', 'indices': [43, 50]}, {'text': 'Feedback', 'indices': [91, 100]}, {'text': 'Reviews', 'indices': [101, 109]}]",199664,7555,7598,2020-04-09 03:55:26,"[{'url': 'https://t.co/uuFOGayTji', 'expanded_url': 'http://askaboutvitamins.blogspot.com', 'display_url': 'askaboutvitamins.blogspot.com', 'indices': [110, 133]}]"
1248097162094878720,amartinezc01,Adrián Martínez,"RT @latinus_us: #Exclusiva Latinus: Un brote de #COVID19 ha contagiado a más de 30 médicos del Hospital General del IMSS en Tlalnepantla, E…","[{'text': 'Exclusiva', 'indices': [16, 26]}, {'text': 'COVID19', 'indices': [48, 56]}]",19897,560,927,2020-04-09 03:55:26,[]
