name,popularity,genre_ids
Insatiable,687.867,"[35, 18]"
Thieves of the Wood,500.951,"[18, 9648, 10759]"
Star Trek: Picard,251.933,[10765]
Rick and Morty,173.919,"[16, 35, 10765]"
Supernatural,123.996,"[18, 9648, 10765]"
Arrow,159.109,"[80, 18, 9648, 10759]"
The Simpsons,162.206,"[16, 35]"
Law & Order: Special Victims Unit,153.953,"[80, 18]"
Volle Kanne,12.274,[10763]
Vikings,148.993,"[18, 10759]"
Doctor Who,119.584,"[18, 10759, 10765]"
Dog & Scissors,140.316,"[16, 35]"
Ragnarok,110.117,"[18, 10759]"
Late Show with David Letterman,34.193,"[35, 10767]"
Family Guy,90.062,"[16, 35]"
The Flash,136.056,"[18, 10765]"
Grey's Anatomy,99.398,[18]
The Walking Dead,93.181,"[18, 10759, 10765]"
Sex Education,95.102,"[35, 18]"
The Blacklist,114.09,"[80, 18, 9648]"
The Mandalorian,96.115,"[10759, 10765]"
Final Approach,104.778,"[16, 35]"
The Stranger,86.707,"[18, 9648]"
Riverdale,86.351,"[18, 9648]"
Chilling Adventures of Sabrina,68.686,"[18, 9648, 10765]"
Two and a Half Men,63.861,[35]
The 100,83.945,"[18, 10759, 10765]"
Criminal Minds,70.506,"[80, 18, 9648]"
Friends,80.938,"[35, 18]"
Dragon Ball,85.816,"[35, 10765, 16, 10759]"
Naruto Shippūden,68.378,"[16, 35, 18]"
South Park,79.976,"[16, 35]"
Legacies,75.284,"[18, 10765]"
Game of Thrones,77.521,"[18, 10765]"
NCIS,74.291,"[80, 18, 10759]"
Lucifer,72.672,"[80, 10765]"
Doraemon,25.84,"[10759, 16, 35, 10765]"
House,53.625,"[35, 18, 9648]"
Hawaii Five-0,70.472,"[28, 80, 18]"
Brooklyn Nine-Nine,68.722,"[35, 80]"
Marvel's Agents of S.H.I.E.L.D.,68.592,"[18, 10759, 10765]"
His Dark Materials,68.286,"[18, 10765]"
Law & Order,60.544,[18]
Star Wars: The Clone Wars,73.307,"[16, 10759, 10765]"
Dahoam is Dahoam,5.601,[10751]
NCIS: Los Angeles,70.622,"[80, 18, 9648, 10759]"
Hunter x Hunter,62.598,"[16, 35, 18, 10759]"
Chicago Fire,70.868,[18]
Scene of the Crime,35.99,"[80, 18]"
Breaking Bad,78.691,[18]
Bones,62.318,"[80, 18]"
The Outsider,61.296,"[80, 18, 9648]"
American Dad!,63.785,"[16, 35]"
Dragon Ball Z,68.287,"[16, 35, 10759, 10765]"
Prison Break,60.537,"[80, 18, 10759]"
The Good Doctor,59.837,[18]
Supergirl,63.946,"[28, 12, 18, 878]"
Perry Mason,25.522,"[80, 18, 9648]"
Doctor Who,45.423,"[18, 10759, 10765]"
CSI: Crime Scene Investigation,58.671,"[80, 18, 9648]"
Castle,48.361,"[80, 18]"
Homeland,45.442,"[80, 18, 10759, 10768]"
Westworld,42.623,"[878, 37]"
The Witcher,73.832,"[18, 10765]"
Luna Nera,56.477,[10765]
Pokémon,56.212,"[16, 10759, 10765]"
Smallville,47.399,"[18, 9648, 10759, 10765]"
24,33.274,"[18, 10759]"
BoJack Horseman,44.532,"[16, 35, 18]"
Late Night with David Letterman,10.898,"[35, 10767]"
The Mentalist,48.626,"[80, 18]"
The Graham Norton Show,33.939,"[35, 10767]"
DC's Legends of Tomorrow,57.642,"[18, 10759, 10765]"
The Magicians,44.194,"[18, 14, 27]"
Pretty Little Liars,45.085,"[18, 9648]"
The Tonight Show Starring Johnny Carson,14.677,[10767]
The Virginian,26.753,"[18, 37]"
Gotham,54.083,"[80, 18, 14]"
How I Met Your Mother,48.78,[35]
WWE Raw,26.771,[18]
Modern Family,57.375,[35]
Wogan,12.809,[10767]
Scrubs,35.993,[35]
TV-am,33.463,[]
Once Upon a Time,37.75,"[18, 10765]"
Avenue 5,50.245,"[35, 10765]"
Lost,58.852,"[18, 9648, 10759, 10765]"
Stranger Things,53.394,"[18, 9648, 10765]"
Chicago P.D.,48.748,"[80, 18]"
Star Trek: The Next Generation,40.078,"[18, 9648, 10759, 10765]"
Power,49.446,"[80, 18]"
American Horror Story,53.535,"[18, 9648, 10765]"
The Originals,36.144,"[18, 9648, 10765]"
Outlander,36.731,"[12, 18, 14, 10749]"
The Vampire Diaries,59.996,"[18, 14, 27, 10749]"
Secret Lives,41.056,"[10766, 18]"
Adventure Time,39.782,"[16, 35, 14]"
The Daily Show with Trevor Noah,48.544,"[35, 10763]"
The Harald Schmidt Show,8.397,[10764]
Manhunt,48.427,"[80, 18, 9648]"
AJ and the Queen,53.181,[35]
Survivor,40.383,[10764]
The Good Place,48.073,"[35, 10765]"
Live with Regis and Kathie Lee,9.479,[]
It's Always Sunny in Philadelphia,37.475,[35]
Batwoman,47.506,"[80, 9648, 10759, 10765]"
Seinfeld,44.457,[35]
Kamen Rider,46.529,"[18, 10759, 10765]"
Black Mirror,36.222,"[18, 10765]"
Naruto,36.579,"[16, 35, 18, 10759]"
Midsomer Murders,36.256,"[80, 18, 9648]"
Dexter,33.629,"[80, 18, 9648]"
2 Broke Girls,34.501,[35]
Stargate SG-1,45.002,"[10759, 10765]"
Blue Bloods,45.45,"[80, 18]"
Monk,36.949,"[18, 9648, 80, 35]"
CSI: Miami,42.496,"[18, 9648]"
Der Alte,18.44,[80]
Interns,38.809,"[35, 10751]"
Haikyuu!!: Riku vs Kuu,65.311,[]
Battlestar Galactica,26.652,[18]
Frasier,36.13,[35]
Peaky Blinders,39.784,"[80, 18]"
Saturday Night Live,31.512,"[35, 10763]"
TharnType: The Series,38.264,[]
Alarm for Cobra 11: The Motorway Police,32.557,"[35, 18, 10759]"
Shameless,56.476,"[35, 18]"
Fear the Walking Dead,42.949,"[18, 10759]"
Desperate Housewives,32.553,"[35, 18, 9648]"
The Expanse,42.656,"[18, 9648, 10765]"
Suits,45.992,[18]
Sons of Anarchy,29.44,"[80, 18]"
Twin Peaks,32.332,"[18, 9648]"
The Big Bang Theory,44.569,[35]
One-Punch Man,41.903,"[10759, 16, 35]"
Keeping Up with the Kardashians,39.155,[10764]
The Sopranos,31.353,[18]
Star Trek: Discovery,42.253,"[10759, 10765]"
Polizeiruf 110,22.623,[80]
Plunderer,41.362,"[16, 10759, 10765]"
Sesame Street,49.036,"[16, 35, 10751]"
New Girl,50.5,[35]
Elementary,59.919,"[80, 18, 9648]"
Paw Patrol,40.977,"[16, 10751, 10762]"
Mayday,36.826,"[99, 18]"
Conan,12.557,"[35, 10767]"
Star Trek: Deep Space Nine,30.278,"[10759, 18, 10765]"
Californication,27.52,"[35, 18]"
Sherlock,29.694,"[80, 18, 9648]"
Star Trek,41.697,"[18, 10765]"
"Beverly Hills, 90210",35.15,[18]
Murdoch Mysteries,36.494,"[18, 9648]"
High School DxD,41.029,"[16, 35, 10759, 10765]"
Young Sheldon,52.045,[35]
Chernobyl,36.178,[18]
Mr. Robot,40.239,"[80, 18]"
The Boys,49.73,"[10759, 10765]"
Full House,44.789,"[35, 10751]"
Tokyo Ghoul,44.301,"[16, 18, 9648, 10759]"
The Office,48.132,[35]
