name,original_language,origin_country
Insatiable,en,['US']
Thieves of the Wood,nl,['BE']
Star Trek: Picard,en,['US']
Rick and Morty,en,['US']
Supernatural,en,['US']
Arrow,en,['US']
The Simpsons,en,['US']
Law & Order: Special Victims Unit,en,['US']
Volle Kanne,de,['DE']
Vikings,en,['CA']
Doctor Who,en,['GB']
Dog & Scissors,ja,['JP']
Ragnarok,no,['DK']
Late Show with David Letterman,en,['US']
Family Guy,en,['US']
The Flash,en,['US']
Grey's Anatomy,en,['US']
The Walking Dead,en,['US']
Sex Education,en,['GB']
The Blacklist,en,['US']
The Mandalorian,en,['US']
Final Approach,ja,['JP']
The Stranger,en,[]
Riverdale,en,['US']
Chilling Adventures of Sabrina,en,['US']
Two and a Half Men,en,['US']
The 100,en,['US']
Criminal Minds,en,['US']
Friends,en,['US']
Dragon Ball,ja,['JP']
Naruto Shippūden,ja,['JP']
South Park,en,['US']
Legacies,en,['US']
Game of Thrones,en,['US']
NCIS,en,['US']
Lucifer,en,['US']
Doraemon,ja,['JP']
House,en,['US']
Hawaii Five-0,en,['US']
Brooklyn Nine-Nine,en,['US']
Marvel's Agents of S.H.I.E.L.D.,en,['US']
His Dark Materials,en,['GB']
Law & Order,en,['US']
Star Wars: The Clone Wars,en,"['SG', 'US']"
Dahoam is Dahoam,de,['DE']
NCIS: Los Angeles,en,['US']
Hunter x Hunter,ja,['JP']
Chicago Fire,en,['US']
Scene of the Crime,de,"['AT', 'DE', 'CH']"
Breaking Bad,en,['US']
Bones,en,['US']
The Outsider,en,['US']
American Dad!,en,['US']
Dragon Ball Z,ja,['JP']
Prison Break,en,['US']
The Good Doctor,en,['US']
Supergirl,en,['US']
Perry Mason,en,['US']
Doctor Who,en,['GB']
CSI: Crime Scene Investigation,en,['US']
Castle,en,['US']
Homeland,en,['US']
Westworld,en,['US']
The Witcher,en,['US']
Luna Nera,it,['IT']
Pokémon,ja,['JP']
Smallville,en,['US']
24,en,['US']
BoJack Horseman,en,['US']
Late Night with David Letterman,en,['US']
The Mentalist,en,['US']
The Graham Norton Show,en,['GB']
DC's Legends of Tomorrow,en,['US']
The Magicians,en,['US']
Pretty Little Liars,en,['US']
The Tonight Show Starring Johnny Carson,en,['US']
The Virginian,en,['US']
Gotham,en,['US']
How I Met Your Mother,en,['US']
WWE Raw,en,['US']
Modern Family,en,['US']
Wogan,en,['GB']
Scrubs,en,['US']
TV-am,en,['GB']
Once Upon a Time,en,['US']
Avenue 5,en,['US']
Lost,en,['US']
Stranger Things,en,['US']
Chicago P.D.,en,['US']
Star Trek: The Next Generation,en,['US']
Power,en,['US']
American Horror Story,en,['US']
The Originals,en,['US']
Outlander,en,['US']
The Vampire Diaries,en,['US']
Secret Lives,fi,['FI']
Adventure Time,en,['US']
The Daily Show with Trevor Noah,en,['US']
The Harald Schmidt Show,de,['DE']
Manhunt,en,['US']
AJ and the Queen,en,['US']
Survivor,en,['US']
The Good Place,en,['US']
Live with Regis and Kathie Lee,en,['US']
It's Always Sunny in Philadelphia,en,['US']
Batwoman,en,['US']
Seinfeld,en,['US']
Kamen Rider,ja,['JP']
Black Mirror,en,['GB']
Naruto,ja,['JP']
Midsomer Murders,en,['GB']
Dexter,en,['US']
2 Broke Girls,en,['US']
Stargate SG-1,en,"['CA', 'US']"
Blue Bloods,en,['US']
Monk,en,['US']
CSI: Miami,en,['US']
Der Alte,de,['DE']
Interns,ru,['RU']
Haikyuu!!: Riku vs Kuu,es,[]
Battlestar Galactica,en,"['US', 'CA', 'GB']"
Frasier,en,['US']
Peaky Blinders,en,['GB']
Saturday Night Live,en,['US']
TharnType: The Series,th,[]
Alarm for Cobra 11: The Motorway Police,de,['DE']
Shameless,en,['US']
Fear the Walking Dead,en,['US']
Desperate Housewives,en,['US']
The Expanse,en,['US']
Suits,en,['US']
Sons of Anarchy,en,['US']
Twin Peaks,en,['US']
The Big Bang Theory,en,['US']
One-Punch Man,ja,['JP']
Keeping Up with the Kardashians,en,['US']
The Sopranos,en,['US']
Star Trek: Discovery,en,['US']
Polizeiruf 110,de,['DE']
Plunderer,ja,['JP']
Sesame Street,en,['US']
New Girl,en,['US']
Elementary,en,['US']
Paw Patrol,en,['US']
Mayday,en,['CA']
Conan,en,['US']
Star Trek: Deep Space Nine,en,['US']
Californication,en,['US']
Sherlock,en,['GB']
Star Trek,en,['US']
"Beverly Hills, 90210",en,['US']
Murdoch Mysteries,en,['CA']
High School DxD,ja,['JP']
Young Sheldon,en,['US']
Chernobyl,en,['US']
Mr. Robot,en,['US']
The Boys,en,['US']
Full House,en,['US']
Tokyo Ghoul,ja,['JP']
The Office,en,['US']
Teen Wolf,en,['US']
True Detective,en,['US']
Station 19,en,['US']
Person of Interest,en,['US']
Messiah,en,['US']
Baywatch,en,['US']
Parks and Recreation,en,['US']
Orange Is the New Black,en,['US']
Ray Donovan,en,['US']
Case Closed,ja,['JP']
Young Hearts,pt,['BR']
Titans,en,['US']
Peppa Pig,en,['GB']
Buffy the Vampire Slayer,en,['US']
Chicago Med,en,['US']
Scorpion,en,['US']
Marvel's Jessica Jones,en,['US']
Psych,en,['US']
Glee,en,['US']
The Wire,en,['US']
MacGyver,en,['US']
Designated Survivor,en,['US']
Charmed,en,['US']
Money Heist,es,['ES']
True Blood,en,['US']
My Wife and Kids,en,['US']
That '70s Show,en,['US']
S.W.A.T.,en,['US']
The X-Files,en,['US']
Gravity Falls,en,['US']
Better Call Saul,en,['US']
Death in Paradise,en,['GB']
Community,en,['US']
Top Gear,en,['GB']
SOKO Köln,de,['DE']
Erkenci Kuş,tr,['TR']
Narcos,en,['US']
Doraemon,ja,['JP']
Medici: Masters of Florence,en,"['IT', 'GB']"
Grimm,en,['US']
This Is Us,en,['US']
True Cooking Master Boy,ja,['JP']
The West Wing,en,['US']
White Collar,en,['US']
Bleach,ja,['JP']
YOU,en,['US']
Will & Grace,en,['US']
The Fairly OddParents,en,"['CA', 'US']"
SEAL Team,en,['US']
A Case For Two,de,['DE']
Futurama,en,['US']
One Piece,ja,['JP']
Weeds,en,['US']
Ancient Aliens,en,['US']
Silicon Valley,en,['US']
Who Wants to Be a Millionaire? (US),en,['US']
Fringe,en,"['US', 'CA']"
Miraculous: Tales of Ladybug & Cat Noir,fr,['FR']
Infinite Challenge,ko,['KR']
La rosa de Guadalupe,es,['MX']
Death Note,ja,['JP']
COBRA,en,['GB']
Mickey Mouse Clubhouse,en,['US']
Arrested Development,en,['US']
When Calls the Heart,en,['US']
Star Trek: Voyager,en,['US']
JoJo's Bizarre Adventure,ja,['JP']
NCIS: New Orleans,en,['US']
Little House on the Prairie,en,['US']
Fullmetal Alchemist: Brotherhood,ja,['JP']
30 Rock,en,['US']
JAG,en,['US']
