id,name,original_name,overview,first_air_date,origin_country,original_language,vote_average,vote_count,popularity,genre_ids
80743,Insatiable,Insatiable,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",2018-08-10,['US'],en,7.6,75,687.867,"[35, 18]"
93533,Thieves of the Wood,The Flemish Bandits,Charismatic highwayman Jan de Lichte leads the oppressed and downtrodden in a revolt against the corrupt aristocracy of 18th-century Belgium.,2020-01-02,['BE'],nl,5.3,11,500.951,"[18, 9648, 10759]"
85949,Star Trek: Picard,Star Trek: Picard,"Set twenty years after the events of Star Trek Nemesis, we follow the now-retired Admiral Picard into the next chapter of his life.",2020-01-23,['US'],en,8.1,72,251.933,[10765]
60625,Rick and Morty,Rick and Morty,"Rick is a mentally-unbalanced but scientifically-gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013-12-02,['US'],en,8.6,1683,173.919,"[16, 35, 10765]"
1622,Supernatural,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005-09-13,['US'],en,7.5,2210,123.996,"[18, 9648, 10765]"
1412,Arrow,Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012-10-10,['US'],en,5.9,3075,159.109,"[80, 18, 9648, 10759]"
456,The Simpsons,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",1989-12-17,['US'],en,7.2,2363,162.206,"[16, 35]"
2734,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",1999-09-20,['US'],en,6.5,795,153.953,"[80, 18]"
64190,Volle Kanne,Volle Kanne,,1999-08-30,['DE'],de,1.0,1,12.274,[10763]
44217,Vikings,Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",2013-03-03,['CA'],en,7.5,1935,148.993,"[18, 10759]"
57243,Doctor Who,Doctor Who,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.",2005-03-26,['GB'],en,7.0,1594,119.584,"[18, 10759, 10765]"
49464,Dog & Scissors,犬とハサミは使いよう,"A nonsense comical mystery. Harumi Kazuhito is a high school boy who loves books and is a fan of novelist Natsuno Kirihime. One day, he finds Kirihime writing at a cafe, about to be shot by a robber. He protects her from the attack but is killed instead. Through the supernatural power of a book-worm, he is reincarnated as a dachshund dog. Kazuhito (as a dog) writhes in a painful bookless life, when a sadistic woman carrying a pair of scissors offers him help. She is Kirihime herself.",2013-07-01,['JP'],ja,6.1,14,140.316,"[16, 35]"
91557,Ragnarok,Ragnarok,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time.,2020-01-31,['DK'],no,9.3,16,110.117,"[18, 10759]"
