name,vote_count,vote_average
Insatiable,75,7.6
Thieves of the Wood,11,5.3
Star Trek: Picard,72,8.1
Rick and Morty,1683,8.6
Supernatural,2210,7.5
Arrow,3075,5.9
The Simpsons,2363,7.2
Law & Order: Special Victims Unit,795,6.5
Volle Kanne,1,1.0
Vikings,1935,7.5
Doctor Who,1594,7.0
Dog & Scissors,14,6.1
Ragnarok,16,9.3
Late Show with David Letterman,79,6.6
Family Guy,1805,6.5
The Flash,3172,6.8
Grey's Anatomy,1199,6.5
The Walking Dead,4491,7.3
Sex Education,338,8.1
The Blacklist,1169,7.0
The Mandalorian,583,8.1
Final Approach,3,6.3
The Stranger,8,8.1
Riverdale,821,7.4
Chilling Adventures of Sabrina,284,7.8
Two and a Half Men,818,6.4
The 100,1802,6.7
Criminal Minds,727,7.4
Friends,1978,8.0
Dragon Ball,381,7.1
Naruto Shippūden,290,7.6
South Park,1250,7.8
Legacies,337,8.0
Game of Thrones,6716,8.2
NCIS,924,6.9
Lucifer,1226,7.6
Doraemon,17,6.8
House,1260,8.2
Hawaii Five-0,459,6.8
Brooklyn Nine-Nine,828,7.8
Marvel's Agents of S.H.I.E.L.D.,1448,6.9
His Dark Materials,186,7.5
Law & Order,217,7.6
Star Wars: The Clone Wars,246,7.7
Dahoam is Dahoam,0,0.0
NCIS: Los Angeles,448,7.0
Hunter x Hunter,185,8.3
Chicago Fire,342,7.7
Scene of the Crime,55,5.5
Breaking Bad,3812,8.5
Bones,587,7.2
The Outsider,26,8.4
American Dad!,787,6.2
Dragon Ball Z,361,8.0
Prison Break,1305,7.6
The Good Doctor,508,7.8
Supergirl,1191,6.1
Perry Mason,53,8.2
Doctor Who,228,7.9
CSI: Crime Scene Investigation,370,7.0
Castle,562,7.6
Homeland,1085,7.4
Westworld,2055,8.1
The Witcher,453,8.1
Luna Nera,7,9.4
Pokémon,279,6.6
Smallville,556,7.2
24,594,7.7
BoJack Horseman,391,8.2
Late Night with David Letterman,25,6.2
The Mentalist,553,7.7
The Graham Norton Show,122,7.0
DC's Legends of Tomorrow,858,6.4
The Magicians,442,7.2
Pretty Little Liars,581,6.8
The Tonight Show Starring Johnny Carson,23,8.5
The Virginian,6,7.5
Gotham,1253,6.9
How I Met Your Mother,1310,7.6
WWE Raw,152,6.3
Modern Family,951,7.3
Wogan,1,7.0
Scrubs,709,7.9
TV-am,1,8.0
Once Upon a Time,919,6.6
Avenue 5,8,6.9
Lost,1465,7.8
Stranger Things,2943,8.3
Chicago P.D.,340,7.7
Star Trek: The Next Generation,649,8.2
Power,741,7.6
American Horror Story,1263,7.0
The Originals,520,7.8
Outlander,539,7.4
The Vampire Diaries,899,7.4
Secret Lives,4,5.5
